Supplier_ID,Supplier_Name,Supplier_Location,Supplier_Category,Contact_Person,Contact_Email,Contact_Phone,Product_ID,Product_Name,Warehouse_ID,Warehouse_Location,Average_Lead_Time,On_Time_Delivery_Rate,Delivery_Accuracy,Damage_Rate,Shipment_Variability,Freight_Cost_Per_Shipment,Restocking_Frequency,Defect_Rate,Quality_Rating,Return_Rate,Compliance_Score,Sustainability_Score,Unit_Cost,Bulk_Discount_Rate,Payment_Term,Average_Invoice_Value,Credit_Score,Collaboration_Level,Dispute_Count,Resolution_Time_Avg,Satisfaction_Score,Loyalty_Score,Overall_Performance_Score,Risk_Score,Ranking,Last_Performance_Review,Cluster,Cluster_Name
SUP4,Supplier 63,Medan,Sportswear,Contact 494,supplier57@supplier.com,+62-812-5514,PROD6440,Product 703,WH44,Bali,11,97.48,93.48,4.49,1.33,225413.53,8,1.68,4.42,1.16,80.91,4.0,290406.89,10.27,Upfront Payment,1486174.16,775,Preferred Vendor,1,12.22,4.27,3.96,4.0,0.95,31,2024-02-22,2,"Low Cost, Efficient Supplier"
SUP58,Supplier 14,Bandung,Footwear,Contact 196,supplier10@supplier.com,+62-812-7253,PROD1529,Product 790,WH26,Surabaya,3,88.89,90.7,3.88,3.91,34630.37,7,2.29,3.87,0.48,80.56,4.66,617816.25,12.25,Net 30,4424680.56,646,Transactional,3,5.09,3.82,3.97,4.88,0.99,77,2023-08-04,2,"Low Cost, Efficient Supplier"
SUP39,Supplier 78,Bali,Sportswear,Contact 401,supplier97@supplier.com,+62-812-4355,PROD8889,Product 281,WH35,Surabaya,27,87.77,93.38,4.13,0.67,169820.75,2,3.88,4.24,0.69,96.04,4.9,957557.12,5.24,Net 60,3722406.05,788,Preferred Vendor,1,11.01,4.43,4.25,3.01,0.6,74,2023-06-10,0,"High Invoice, High Cost Supplier"
SUP87,Supplier 76,Bali,Accessories,Contact 418,supplier64@supplier.com,+62-812-9341,PROD6825,Product 468,WH40,Medan,24,82.35,94.85,3.05,1.21,226788.66,8,3.17,4.67,0.22,98.04,4.96,542716.34,6.03,Upfront Payment,4603321.61,753,Strategic Partner,9,12.25,3.26,3.52,3.74,0.89,68,2023-05-08,0,"High Invoice, High Cost Supplier"
SUP83,Supplier 17,Bali,Sportswear,Contact 235,supplier70@supplier.com,+62-812-3639,PROD8109,Product 230,WH43,Bandung,17,95.34,99.26,1.44,4.47,349319.68,2,1.13,3.67,0.7,98.75,3.2,946735.48,9.43,Net 60,3801390.32,628,Transactional,6,13.06,3.95,4.9,4.06,0.05,87,2022-08-12,2,"Low Cost, Efficient Supplier"
SUP47,Supplier 62,Bali,Sportswear,Contact 435,supplier19@supplier.com,+62-812-6671,PROD9547,Product 957,WH50,Surabaya,17,87.72,90.59,4.43,0.76,155170.84,1,4.73,3.5,0.13,94.98,3.94,366669.11,2.05,Net 60,2130307.58,798,Preferred Vendor,10,3.78,3.64,4.18,3.65,0.5,98,2022-01-18,0,"High Invoice, High Cost Supplier"
SUP63,Supplier 86,Surabaya,Accessories,Contact 230,supplier40@supplier.com,+62-812-8135,PROD1077,Product 322,WH19,Medan,15,86.84,98.68,3.24,1.41,124777.57,9,3.91,3.93,1.97,78.29,4.5,170178.28,3.88,Upfront Payment,2707376.04,643,Transactional,4,2.98,4.69,3.69,3.4,0.78,16,2024-07-08,2,"Low Cost, Efficient Supplier"
SUP74,Supplier 85,Medan,Footwear,Contact 213,supplier26@supplier.com,+62-812-1336,PROD5649,Product 274,WH13,Bandung,6,94.23,99.58,4.77,4.83,282900.01,5,2.73,4.19,1.62,83.51,4.24,387179.92,6.71,Net 30,2572091.4,777,Transactional,4,3.9,4.08,4.82,4.14,0.84,51,2023-11-20,2,"Low Cost, Efficient Supplier"
SUP98,Supplier 27,Bali,Footwear,Contact 226,supplier51@supplier.com,+62-812-3368,PROD8651,Product 632,WH27,Jakarta,24,98.75,95.8,2.47,3.83,86671.56,2,3.98,4.32,1.38,78.4,4.37,268777.11,15.0,Net 30,2555866.05,742,Transactional,3,13.86,3.2,4.03,3.86,1.0,65,2024-02-20,2,"Low Cost, Efficient Supplier"
SUP60,Supplier 62,Surabaya,Sportswear,Contact 446,supplier79@supplier.com,+62-812-5842,PROD3168,Product 587,WH40,Bali,21,88.88,92.17,0.61,4.82,261722.55,6,0.39,3.54,1.38,86.61,4.97,378429.17,0.96,Upfront Payment,3600524.54,683,Strategic Partner,8,1.15,3.25,4.26,3.98,0.77,60,2024-01-04,2,"Low Cost, Efficient Supplier"
SUP47,Supplier 9,Bali,Sportswear,Contact 415,supplier19@supplier.com,+62-812-6126,PROD7180,Product 619,WH48,Medan,9,81.91,91.42,4.75,0.96,278248.5,7,3.34,4.94,1.45,79.11,4.32,669280.9,11.27,Upfront Payment,1347973.4,800,Strategic Partner,4,2.17,3.98,4.24,3.0,0.99,69,2021-01-21,0,"High Invoice, High Cost Supplier"
SUP91,Supplier 98,Bandung,Footwear,Contact 37,supplier70@supplier.com,+62-812-2281,PROD4946,Product 572,WH28,Bali,17,80.95,99.16,3.63,4.7,88338.82,10,1.75,4.32,1.09,77.78,3.7,320128.03,5.69,Net 30,4543846.55,687,Transactional,2,3.82,3.18,3.61,3.09,0.56,67,2021-07-14,2,"Low Cost, Efficient Supplier"
SUP14,Supplier 86,Bandung,Footwear,Contact 412,supplier25@supplier.com,+62-812-6534,PROD9316,Product 953,WH27,Bali,1,94.54,97.95,3.22,1.44,237143.5,1,0.04,3.58,0.2,97.47,4.06,282762.1,8.97,Upfront Payment,3082358.33,716,Transactional,5,7.27,3.33,4.11,3.44,0.52,79,2022-12-01,0,"High Invoice, High Cost Supplier"
SUP27,Supplier 12,Bandung,Accessories,Contact 71,supplier47@supplier.com,+62-812-9013,PROD4090,Product 13,WH39,Bandung,11,80.52,98.66,2.97,3.8,128627.27,6,0.65,4.66,1.93,74.57,3.67,572436.22,7.07,Net 30,3220313.6,621,Preferred Vendor,6,7.51,4.07,4.75,3.6,0.22,90,2020-12-21,2,"Low Cost, Efficient Supplier"
SUP39,Supplier 9,Medan,Sportswear,Contact 65,supplier21@supplier.com,+62-812-8457,PROD8676,Product 221,WH17,Jakarta,20,91.64,99.0,3.27,1.53,39634.26,8,1.72,4.79,0.71,76.37,4.58,334667.25,7.79,Upfront Payment,2457089.74,658,Transactional,9,3.04,3.42,3.49,3.59,0.65,10,2024-11-12,1,"Moderate Cost, Balanced Supplier"
SUP70,Supplier 16,Bali,Footwear,Contact 268,supplier82@supplier.com,+62-812-3418,PROD2237,Product 91,WH42,Bali,21,94.99,93.99,0.07,3.09,407549.97,6,1.14,4.53,1.34,75.16,4.4,361898.62,16.43,Upfront Payment,1140278.42,828,Preferred Vendor,6,2.76,4.41,3.53,3.25,0.75,93,2021-05-24,1,"Moderate Cost, Balanced Supplier"
SUP71,Supplier 12,Bandung,Footwear,Contact 307,supplier33@supplier.com,+62-812-5247,PROD5794,Product 464,WH31,Surabaya,15,82.97,98.9,3.13,3.72,57291.16,3,0.59,4.9,1.31,94.56,3.75,256920.3,19.27,Upfront Payment,4755213.58,615,Preferred Vendor,6,12.32,3.65,3.58,3.57,0.5,56,2024-11-15,2,"Low Cost, Efficient Supplier"
SUP90,Supplier 3,Medan,Footwear,Contact 406,supplier64@supplier.com,+62-812-7728,PROD9787,Product 419,WH28,Jakarta,19,86.35,91.74,3.83,4.04,435331.32,2,0.28,3.24,1.91,83.68,4.93,576421.71,18.53,Upfront Payment,2570967.25,638,Strategic Partner,1,8.03,4.68,4.56,3.42,0.14,98,2023-06-19,2,"Low Cost, Efficient Supplier"
SUP16,Supplier 41,Bali,Sportswear,Contact 428,supplier65@supplier.com,+62-812-8587,PROD7802,Product 391,WH15,Surabaya,7,88.98,99.21,1.74,2.59,494666.85,4,1.65,4.31,0.39,72.0,4.92,111542.83,14.6,Net 60,2374526.01,840,Transactional,3,10.5,4.72,4.08,4.87,0.25,32,2023-06-09,0,"High Invoice, High Cost Supplier"
SUP15,Supplier 48,Medan,Footwear,Contact 211,supplier82@supplier.com,+62-812-8194,PROD4949,Product 90,WH35,Surabaya,7,95.29,92.49,2.28,3.02,274538.0,5,0.77,3.74,1.36,73.43,4.42,868729.03,13.45,Upfront Payment,3225771.84,646,Preferred Vendor,4,11.63,4.34,4.07,3.66,0.77,33,2023-08-20,2,"Low Cost, Efficient Supplier"
SUP90,Supplier 10,Bandung,Sportswear,Contact 50,supplier41@supplier.com,+62-812-1453,PROD1572,Product 213,WH40,Bandung,3,95.1,92.52,0.27,4.84,81743.12,2,3.24,4.96,1.5,71.13,4.17,984903.75,2.9,Net 30,942375.86,837,Strategic Partner,2,6.0,4.88,3.82,4.76,0.22,45,2021-02-05,1,"Moderate Cost, Balanced Supplier"
SUP63,Supplier 35,Medan,Accessories,Contact 291,supplier63@supplier.com,+62-812-6703,PROD7161,Product 277,WH2,Surabaya,8,90.09,92.19,3.28,0.57,190096.88,10,0.25,3.03,0.45,87.64,3.63,628559.22,7.78,Net 30,515785.81,771,Transactional,5,11.13,4.06,3.52,3.72,0.35,62,2022-09-12,1,"Moderate Cost, Balanced Supplier"
SUP83,Supplier 69,Bandung,Footwear,Contact 436,supplier37@supplier.com,+62-812-2225,PROD1885,Product 342,WH41,Jakarta,10,97.65,97.82,0.07,4.35,209487.12,10,4.6,4.08,1.96,88.02,4.21,90356.99,12.7,Net 30,1494141.37,766,Preferred Vendor,5,7.19,4.83,4.75,3.92,0.47,70,2024-04-20,1,"Moderate Cost, Balanced Supplier"
SUP100,Supplier 67,Bandung,Accessories,Contact 70,supplier81@supplier.com,+62-812-4665,PROD3190,Product 272,WH46,Surabaya,26,86.3,98.5,2.03,3.11,78805.79,4,0.64,3.33,0.51,76.52,3.78,684807.03,1.29,Net 30,1971934.66,669,Preferred Vendor,4,12.8,3.64,3.23,4.03,0.34,71,2024-08-17,2,"Low Cost, Efficient Supplier"
SUP44,Supplier 93,Surabaya,Footwear,Contact 252,supplier4@supplier.com,+62-812-9353,PROD2110,Product 500,WH22,Bandung,11,85.76,92.44,1.35,3.28,136185.22,4,0.69,3.9,0.25,75.61,3.35,358737.6,19.47,Upfront Payment,4076858.84,764,Strategic Partner,9,8.45,3.72,3.72,3.96,0.55,58,2022-02-01,0,"High Invoice, High Cost Supplier"
SUP8,Supplier 65,Medan,Sportswear,Contact 40,supplier17@supplier.com,+62-812-4641,PROD1135,Product 106,WH38,Surabaya,19,92.21,95.29,0.42,4.79,226604.95,6,3.09,4.25,1.91,91.75,3.71,390438.26,8.7,Upfront Payment,883415.78,720,Strategic Partner,8,7.63,4.59,4.63,4.4,0.14,70,2023-09-06,1,"Moderate Cost, Balanced Supplier"
SUP71,Supplier 17,Jakarta,Sportswear,Contact 333,supplier23@supplier.com,+62-812-3078,PROD2428,Product 25,WH7,Bali,27,90.93,90.46,2.59,2.4,286815.49,7,4.13,4.25,1.14,86.57,3.84,612217.26,0.6,Net 60,1203258.05,801,Strategic Partner,5,4.52,4.35,4.4,3.43,0.93,56,2021-07-17,1,"Moderate Cost, Balanced Supplier"
SUP55,Supplier 52,Medan,Sportswear,Contact 343,supplier63@supplier.com,+62-812-4979,PROD2484,Product 64,WH8,Surabaya,14,87.76,90.97,2.74,0.83,478992.55,5,1.97,3.07,0.13,99.48,3.72,881082.23,11.53,Net 60,3285985.9,691,Preferred Vendor,8,2.8,3.78,4.16,3.01,0.55,15,2021-02-07,0,"High Invoice, High Cost Supplier"
SUP42,Supplier 72,Bali,Accessories,Contact 74,supplier53@supplier.com,+62-812-1621,PROD1595,Product 756,WH8,Bandung,29,95.1,91.36,2.19,2.43,187525.21,1,3.63,3.75,1.2,77.26,3.77,304186.99,13.17,Upfront Payment,1564181.1,729,Strategic Partner,1,14.81,3.44,4.05,3.47,0.63,15,2021-11-06,2,"Low Cost, Efficient Supplier"
SUP88,Supplier 91,Jakarta,Accessories,Contact 174,supplier6@supplier.com,+62-812-2330,PROD3852,Product 753,WH40,Jakarta,13,90.39,95.76,0.97,3.96,383020.24,3,0.19,4.49,1.6,99.2,4.06,482647.47,0.0,Net 30,3335293.23,826,Preferred Vendor,6,3.11,3.89,4.96,4.53,0.01,82,2020-04-09,1,"Moderate Cost, Balanced Supplier"
SUP4,Supplier 61,Jakarta,Sportswear,Contact 14,supplier51@supplier.com,+62-812-4692,PROD6201,Product 449,WH16,Medan,6,94.75,90.31,1.85,2.58,67071.16,8,3.58,3.03,1.73,80.3,4.54,552049.05,2.37,Net 60,558662.62,615,Transactional,1,6.47,3.79,4.57,4.33,0.8,89,2022-04-01,2,"Low Cost, Efficient Supplier"
SUP21,Supplier 87,Medan,Sportswear,Contact 323,supplier21@supplier.com,+62-812-1043,PROD5265,Product 599,WH20,Bandung,17,99.35,98.67,2.04,0.83,80692.07,8,1.63,4.45,0.06,94.52,4.99,56262.19,1.35,Net 30,1897497.81,813,Transactional,8,11.79,3.62,4.61,4.85,0.1,31,2023-05-01,2,"Low Cost, Efficient Supplier"
SUP22,Supplier 21,Bali,Footwear,Contact 251,supplier67@supplier.com,+62-812-5295,PROD2248,Product 801,WH2,Medan,14,84.61,93.9,3.39,2.94,23411.2,5,2.5,4.83,1.93,88.42,3.75,593077.14,7.87,Net 30,1546658.84,776,Strategic Partner,0,14.33,3.07,4.58,3.94,0.95,61,2020-01-06,2,"Low Cost, Efficient Supplier"
SUP99,Supplier 43,Medan,Accessories,Contact 388,supplier63@supplier.com,+62-812-1574,PROD2967,Product 445,WH24,Bandung,18,92.71,92.37,0.07,3.73,13375.53,7,2.5,3.38,1.4,89.85,3.73,959775.46,5.23,Net 60,2131578.18,702,Strategic Partner,2,5.22,3.75,3.07,4.7,0.73,20,2024-09-07,1,"Moderate Cost, Balanced Supplier"
SUP65,Supplier 16,Bali,Footwear,Contact 351,supplier49@supplier.com,+62-812-7336,PROD3707,Product 416,WH49,Surabaya,26,98.18,92.41,2.85,2.27,483403.67,7,3.72,4.38,1.42,70.41,4.29,301475.22,11.73,Upfront Payment,698489.08,665,Preferred Vendor,5,4.22,4.8,4.45,3.33,0.03,71,2024-06-12,1,"Moderate Cost, Balanced Supplier"
SUP25,Supplier 20,Medan,Accessories,Contact 370,supplier98@supplier.com,+62-812-6487,PROD5470,Product 220,WH43,Medan,22,92.55,93.0,3.95,3.67,57801.95,9,3.46,3.98,1.66,86.06,4.54,192292.92,0.43,Net 60,2426050.09,715,Transactional,1,9.78,3.65,4.2,3.29,0.61,84,2023-10-07,2,"Low Cost, Efficient Supplier"
SUP9,Supplier 14,Bali,Accessories,Contact 256,supplier82@supplier.com,+62-812-8677,PROD5447,Product 115,WH13,Surabaya,21,92.18,90.41,3.32,0.76,115057.28,7,0.71,3.95,0.45,82.33,4.16,309432.26,13.41,Net 60,1007596.84,793,Preferred Vendor,2,4.81,4.81,5.0,4.36,0.85,54,2021-05-10,2,"Low Cost, Efficient Supplier"
SUP32,Supplier 77,Bandung,Accessories,Contact 25,supplier94@supplier.com,+62-812-8488,PROD1470,Product 872,WH15,Surabaya,16,95.8,98.46,0.63,4.07,212384.87,2,1.0,4.3,0.47,92.73,3.81,80850.7,13.45,Net 60,4263402.69,680,Transactional,10,14.45,3.06,4.24,3.62,0.7,61,2020-03-23,2,"Low Cost, Efficient Supplier"
SUP100,Supplier 40,Medan,Accessories,Contact 159,supplier59@supplier.com,+62-812-9586,PROD9273,Product 184,WH27,Jakarta,27,81.39,92.09,2.62,0.61,141618.27,8,0.75,3.83,0.97,83.64,4.9,817212.1,18.4,Net 30,3589888.16,758,Preferred Vendor,9,2.53,4.87,4.72,4.3,0.1,50,2022-07-15,0,"High Invoice, High Cost Supplier"
SUP42,Supplier 61,Surabaya,Sportswear,Contact 189,supplier25@supplier.com,+62-812-7371,PROD7275,Product 628,WH28,Surabaya,3,94.6,91.7,2.44,2.18,229365.48,7,1.76,4.09,0.11,96.02,3.27,483864.69,4.86,Upfront Payment,3291964.45,600,Preferred Vendor,6,2.4,4.36,3.06,3.01,0.4,8,2020-02-02,1,"Moderate Cost, Balanced Supplier"
SUP32,Supplier 23,Medan,Sportswear,Contact 479,supplier53@supplier.com,+62-812-7433,PROD7927,Product 581,WH26,Surabaya,30,80.14,90.86,0.18,1.37,32898.6,4,3.22,4.26,1.36,71.86,3.46,935387.7,1.42,Upfront Payment,4908976.35,723,Preferred Vendor,5,8.49,4.87,3.48,3.99,0.85,29,2021-03-22,2,"Low Cost, Efficient Supplier"
SUP1,Supplier 64,Surabaya,Sportswear,Contact 255,supplier73@supplier.com,+62-812-8899,PROD6030,Product 509,WH38,Medan,1,93.48,99.39,1.85,1.8,316339.59,4,2.46,4.04,0.34,75.79,4.5,427226.13,17.62,Upfront Payment,2937598.32,766,Strategic Partner,6,9.55,3.74,4.92,3.61,0.85,40,2023-10-31,0,"High Invoice, High Cost Supplier"
SUP26,Supplier 60,Bandung,Sportswear,Contact 297,supplier70@supplier.com,+62-812-6434,PROD6488,Product 850,WH48,Bali,6,94.49,97.15,1.11,3.9,444590.13,3,4.02,4.14,0.19,71.07,4.68,787627.56,13.38,Net 60,3335786.49,844,Transactional,8,8.48,3.17,3.68,3.88,0.44,81,2022-01-12,0,"High Invoice, High Cost Supplier"
SUP33,Supplier 49,Surabaya,Sportswear,Contact 279,supplier77@supplier.com,+62-812-6017,PROD5589,Product 805,WH4,Surabaya,27,95.96,90.38,4.48,4.3,120964.52,7,4.74,4.82,1.42,91.37,3.81,219816.96,13.3,Upfront Payment,4068627.08,704,Preferred Vendor,0,6.46,3.05,3.33,3.84,0.94,67,2021-04-17,2,"Low Cost, Efficient Supplier"
SUP60,Supplier 5,Surabaya,Footwear,Contact 255,supplier5@supplier.com,+62-812-4313,PROD4353,Product 966,WH13,Medan,1,93.89,91.46,0.12,3.81,115249.54,10,1.44,3.6,0.27,97.61,4.55,602287.39,16.21,Net 30,3193913.79,613,Transactional,6,7.6,4.49,3.35,3.24,0.62,44,2023-09-04,1,"Moderate Cost, Balanced Supplier"
SUP88,Supplier 13,Jakarta,Footwear,Contact 497,supplier46@supplier.com,+62-812-9859,PROD4097,Product 933,WH21,Bandung,9,80.21,90.98,3.66,3.83,444240.13,2,1.34,4.51,0.12,79.98,3.77,122399.12,3.65,Net 60,4751431.96,695,Strategic Partner,10,1.6,3.13,3.45,4.0,0.89,66,2022-01-06,0,"High Invoice, High Cost Supplier"
SUP83,Supplier 98,Medan,Sportswear,Contact 33,supplier48@supplier.com,+62-812-9242,PROD3887,Product 401,WH6,Bali,19,92.31,95.53,2.68,1.98,317979.0,9,2.9,3.06,1.7,80.92,4.36,332720.76,2.38,Net 30,4495647.23,821,Strategic Partner,2,8.79,3.27,4.31,3.78,0.45,96,2021-10-23,2,"Low Cost, Efficient Supplier"
SUP31,Supplier 91,Surabaya,Accessories,Contact 11,supplier29@supplier.com,+62-812-7618,PROD1074,Product 887,WH47,Jakarta,24,91.3,95.04,0.46,3.63,411936.03,5,0.45,4.62,0.15,73.48,4.02,935834.33,8.15,Net 30,1452245.91,834,Preferred Vendor,4,2.55,4.47,3.03,4.0,0.57,33,2024-05-22,1,"Moderate Cost, Balanced Supplier"
SUP16,Supplier 80,Bandung,Accessories,Contact 390,supplier40@supplier.com,+62-812-1433,PROD7966,Product 741,WH21,Medan,20,91.73,98.36,1.72,4.72,221874.2,3,0.6,3.59,0.88,81.85,4.94,686959.45,5.71,Net 30,1199562.18,806,Strategic Partner,1,9.41,3.14,4.61,4.13,0.63,53,2024-02-13,2,"Low Cost, Efficient Supplier"
SUP89,Supplier 13,Bandung,Sportswear,Contact 413,supplier87@supplier.com,+62-812-9333,PROD8075,Product 105,WH38,Medan,21,87.86,96.46,3.5,1.73,178467.68,10,3.89,4.55,1.87,97.84,4.31,790517.33,2.13,Net 60,2207594.65,615,Strategic Partner,6,7.82,3.66,3.64,4.04,0.75,36,2021-05-29,2,"Low Cost, Efficient Supplier"
SUP78,Supplier 86,Bandung,Footwear,Contact 25,supplier43@supplier.com,+62-812-1238,PROD4196,Product 746,WH14,Bandung,5,97.99,96.88,4.78,2.06,22017.9,1,3.3,4.7,1.64,84.25,4.07,607367.9,3.22,Net 60,1006010.07,609,Transactional,1,14.27,4.09,4.83,3.11,0.19,29,2020-08-23,2,"Low Cost, Efficient Supplier"
SUP13,Supplier 54,Surabaya,Sportswear,Contact 298,supplier44@supplier.com,+62-812-9695,PROD3060,Product 785,WH31,Jakarta,16,80.67,92.01,1.58,3.57,261673.77,9,1.36,4.52,1.38,94.66,3.21,904198.51,0.18,Net 30,616072.58,698,Transactional,3,6.49,4.16,3.57,3.19,0.15,40,2023-05-01,1,"Moderate Cost, Balanced Supplier"
SUP48,Supplier 13,Jakarta,Sportswear,Contact 164,supplier74@supplier.com,+62-812-7660,PROD9055,Product 305,WH6,Surabaya,28,82.99,96.44,2.82,1.38,315620.43,2,3.11,4.34,1.86,72.74,3.86,444055.26,4.48,Net 60,4328835.78,675,Preferred Vendor,0,9.39,3.1,4.68,3.5,0.69,68,2024-05-27,2,"Low Cost, Efficient Supplier"
SUP24,Supplier 54,Surabaya,Footwear,Contact 431,supplier14@supplier.com,+62-812-3493,PROD5499,Product 30,WH18,Bali,21,81.72,94.05,4.27,3.15,17804.1,2,3.85,3.91,1.0,73.89,3.99,127977.95,3.29,Net 30,4539113.49,841,Strategic Partner,8,10.91,4.28,4.92,3.71,0.07,56,2021-04-30,0,"High Invoice, High Cost Supplier"
SUP30,Supplier 16,Surabaya,Footwear,Contact 399,supplier81@supplier.com,+62-812-3455,PROD6054,Product 358,WH4,Surabaya,25,85.23,92.35,2.55,2.82,335461.21,8,2.14,4.36,1.44,83.5,4.43,746502.51,13.54,Net 30,4096947.21,722,Strategic Partner,1,4.67,4.89,3.42,4.72,0.82,68,2023-11-08,2,"Low Cost, Efficient Supplier"
SUP54,Supplier 57,Jakarta,Footwear,Contact 69,supplier44@supplier.com,+62-812-9723,PROD4991,Product 906,WH35,Jakarta,18,88.48,92.76,4.08,4.0,292583.5,6,4.11,4.36,1.56,79.27,3.51,388065.09,17.59,Net 30,4904124.07,615,Preferred Vendor,6,13.32,4.49,3.08,4.98,0.75,46,2022-04-08,2,"Low Cost, Efficient Supplier"
SUP21,Supplier 69,Bandung,Accessories,Contact 31,supplier86@supplier.com,+62-812-9264,PROD3951,Product 899,WH6,Medan,25,98.21,93.59,0.9,1.67,280843.77,3,2.32,4.96,0.06,70.98,4.32,574862.59,12.92,Net 60,1910257.18,627,Preferred Vendor,2,1.29,3.91,4.89,3.72,0.55,70,2023-11-01,2,"Low Cost, Efficient Supplier"
SUP58,Supplier 76,Surabaya,Sportswear,Contact 309,supplier33@supplier.com,+62-812-1397,PROD9522,Product 781,WH44,Bali,5,97.04,94.67,3.59,1.03,383339.91,5,1.66,3.83,2.0,96.72,4.36,134456.07,16.76,Upfront Payment,2256467.16,783,Strategic Partner,2,5.91,3.27,3.18,4.43,0.38,18,2020-09-01,1,"Moderate Cost, Balanced Supplier"
SUP27,Supplier 20,Medan,Footwear,Contact 127,supplier82@supplier.com,+62-812-8653,PROD9249,Product 491,WH21,Bali,15,90.93,94.77,2.41,1.99,235096.53,8,1.66,4.03,0.94,91.17,4.48,194327.09,7.62,Net 30,2276741.64,848,Preferred Vendor,7,1.83,4.68,3.52,3.95,0.41,22,2022-08-06,1,"Moderate Cost, Balanced Supplier"
SUP71,Supplier 62,Surabaya,Accessories,Contact 376,supplier17@supplier.com,+62-812-7184,PROD8196,Product 779,WH7,Bandung,5,82.38,93.4,4.64,1.97,443191.17,8,0.97,3.39,1.8,70.89,4.27,608759.04,15.78,Net 60,3312371.96,624,Preferred Vendor,10,11.25,4.41,3.29,4.29,0.77,39,2023-11-26,0,"High Invoice, High Cost Supplier"
SUP37,Supplier 45,Bali,Footwear,Contact 482,supplier7@supplier.com,+62-812-2063,PROD1934,Product 683,WH50,Bandung,30,97.64,91.89,4.95,3.68,374010.3,2,3.82,3.38,1.62,90.59,4.03,191834.91,7.69,Net 30,2469576.86,776,Preferred Vendor,4,10.12,4.79,4.78,3.67,0.17,63,2024-03-10,2,"Low Cost, Efficient Supplier"
SUP52,Supplier 90,Jakarta,Footwear,Contact 62,supplier23@supplier.com,+62-812-9574,PROD9011,Product 89,WH20,Jakarta,30,99.02,94.36,1.28,4.19,304719.31,10,1.32,4.52,0.77,90.9,3.71,185752.01,8.62,Upfront Payment,4712928.15,770,Strategic Partner,3,4.23,4.06,3.85,4.39,0.27,31,2021-11-12,1,"Moderate Cost, Balanced Supplier"
SUP75,Supplier 55,Jakarta,Accessories,Contact 69,supplier86@supplier.com,+62-812-3166,PROD5944,Product 529,WH31,Jakarta,21,99.17,95.9,3.64,0.55,96726.48,2,1.11,4.64,1.01,72.31,3.48,185502.24,14.31,Net 30,2016405.36,654,Strategic Partner,0,13.7,4.05,3.48,4.02,0.24,64,2023-09-19,2,"Low Cost, Efficient Supplier"
SUP70,Supplier 73,Surabaya,Footwear,Contact 159,supplier48@supplier.com,+62-812-7063,PROD6967,Product 879,WH11,Surabaya,7,95.37,98.54,4.23,1.48,281167.15,5,1.52,4.14,0.49,88.68,4.22,322930.98,14.9,Net 60,1384134.62,751,Preferred Vendor,10,3.56,3.72,3.83,4.88,0.93,75,2024-07-29,0,"High Invoice, High Cost Supplier"
SUP68,Supplier 26,Surabaya,Footwear,Contact 352,supplier53@supplier.com,+62-812-7443,PROD8852,Product 839,WH24,Bali,5,99.87,91.54,3.58,1.43,387169.21,3,0.74,4.48,1.83,82.62,4.73,916552.85,12.71,Upfront Payment,1427293.31,787,Strategic Partner,7,9.97,4.78,3.47,4.9,0.19,55,2021-02-04,1,"Moderate Cost, Balanced Supplier"
SUP97,Supplier 14,Medan,Accessories,Contact 121,supplier93@supplier.com,+62-812-7492,PROD2949,Product 749,WH9,Jakarta,7,97.11,92.61,4.1,2.39,443788.42,2,3.48,4.83,1.86,76.87,4.32,167766.81,9.28,Net 60,4364458.01,681,Preferred Vendor,4,8.3,4.63,4.12,3.68,0.07,82,2021-12-14,0,"High Invoice, High Cost Supplier"
SUP74,Supplier 76,Bali,Accessories,Contact 291,supplier39@supplier.com,+62-812-2101,PROD2302,Product 367,WH2,Jakarta,20,90.75,97.81,3.39,2.95,489481.08,9,0.04,4.5,1.93,88.38,4.14,905164.48,17.53,Upfront Payment,4914909.67,645,Strategic Partner,7,1.97,4.29,4.17,3.48,0.7,6,2021-10-14,1,"Moderate Cost, Balanced Supplier"
SUP97,Supplier 28,Surabaya,Sportswear,Contact 171,supplier79@supplier.com,+62-812-9663,PROD1571,Product 757,WH43,Bandung,14,98.39,92.21,0.8,1.45,39616.05,10,1.26,4.46,0.68,87.98,4.72,806220.64,13.15,Net 30,3188208.45,718,Preferred Vendor,9,12.16,4.37,4.33,3.06,0.8,79,2024-09-09,1,"Moderate Cost, Balanced Supplier"
SUP84,Supplier 22,Bandung,Sportswear,Contact 348,supplier80@supplier.com,+62-812-9351,PROD8597,Product 210,WH13,Surabaya,26,99.4,98.74,2.93,0.64,10499.92,7,1.87,4.12,0.36,87.74,3.61,377908.81,6.68,Net 60,1670886.44,642,Transactional,5,11.37,4.7,4.1,4.32,0.14,66,2022-11-19,2,"Low Cost, Efficient Supplier"
SUP83,Supplier 38,Bali,Accessories,Contact 56,supplier36@supplier.com,+62-812-7422,PROD4633,Product 399,WH30,Bali,1,87.63,99.89,3.82,3.85,292010.14,5,0.15,3.8,0.19,81.29,3.4,664179.27,2.49,Upfront Payment,613344.44,740,Preferred Vendor,1,6.9,3.68,4.34,4.32,0.37,32,2021-07-28,2,"Low Cost, Efficient Supplier"
